name,pos,hand len,hand wid,ht,wt,wingspan
Justin Jackson (UMD),SF,9.00,9.50,77.75,219.4,87.25
Justin Jackson (UNC),SF,8.75,9.25,79.0,200.8,83.0
Peter Jok,SG-SF,8.25,9.50,76.25,202.4,80.0
Luke Kennard,SG-SF,8.00,8.75,76.5,196.2,77.25
Kyle Kuzma,SF-SG,8.50,9.50,80.0,222.6,84.25
TJ Leaf,PF,8.50,9.50,80.75,222.2,83.0
Tyler Lydon,PF,8.75,8.75,80.25,215.0,84.0
Frank Mason III,PG,8.00,9.25,71.0,188.8,75.25
Kennedy Meeks,C,8.75,8.75,80.75,276.6,85.0
Donovan Mitchell,SG,8.50,9.50,73.25,211.4,82.0
Monte Morris,PG,8.25,8.75,73.25,175.2,76.0
Johnathan Motley,PF,9.00,9.50,79.75,238.2,88.0
Svi Mykhailiuk,SG-SF,8.00,9.25,78.5,219.6,77.0
Semi Ojeleye,SF-SG,8.75,9.50,77.25,241.4,81.75
Cameron Oliver,PF,9.50,10.25,79.0,238.6,85.25
Justin Patton,C,8.75,9.75,82.0,229.0,87.0
Alec Peters,PF,8.75,10.00,79.25,232.0,82.75
Ivan Rabb,PF,8.75,9.00,80.75,219.6,85.5
Davon Reed,SG-SF,9.25,9.50,76.5,206.2,84.0
Devin Robinson,SF,9.25,10.25,79.0,189.6,84.75
Kobi Simmons,PG,8.50,9.50,75.25,166.2,78.0
Edmond Sumner,PG,8.25,9.00,76.0,176.4,81.0
Caleb Swanigan,PF,9.50,10.25,79.5,245.6,87.0
Sindarius Thornwell,SG-SF,8.75,8.75,75.5,211.6,82.0
Melo Trimble,PG,8.00,8.75,73.25,195.2,74.0
Moritz Wagner,PF,8.75,10.75,82.0,231.2,84.0
Derrick Walton Jr.,PG,8.00,8.50,71.0,188.6,74.5
Thomas Welsh,PF-C,9.00,10.50,83.5,254.0,84.0
Derrick White,PG,8.25,8.50,75.25,189.8,79.5
Nigel Williams-Goss,PG,8.75,9.25,73.5,190.2,79.25
D.J. Wilson,PF,9.25,10.25,80.75,234.4,87.0
Omer Yurtseven,C,9.00,10.50,82.5,248.4,85.0
Ron Baker,SG,8.75,9.50,75.25,212.4,81.75
Wade Baldwin IV,PG,9.00,9.75,74.5,201.8,83.25
Cat Barber,PG,8.00,8.50,73.5,173.0,77.5
Malik Beasley,SG,8.50,9.00,75.5,189.8,79.0
DeAndre Bembry,SG-SF,8.00,9.25,76.25,206.6,81.25
Ben Bentil,PF,9.50,10.00,79.25,229.2,85.5
Jaron Blossomgame,SF,8.50,10.00,78.25,213.6,82.0
Joel Bolomboy,PF,9.00,10.25,79.5,224.4,85.75
Malcolm Brogdon,SG,9.00,10.25,75.75,223.0,82.5
Jaylen Brown,SG-SF,8.75,9.00,77.25,222.8,83.75
Marquese Chriss,PF,9.00,9.00,80.75,233.0,84.25
Elgin Cook,SF,8.50,10.25,77.0,209.8,82.0
Isaiah Cousins,PG,8.25,8.75,75.25,194.0,78.25
Deyonta Davis,PF,9.00,9.25,81.25,237.2,86.5
Cheick Diallo,PF,8.50,9.75,79.5,218.6,88.5
Kris Dunn,PG,-,-,75.0,0.0,81.5
Henry Ellenson,PF,8.50,9.75,82.0,242.0,86.25
Perry Ellis,PF,8.00,8.50,79.0,217.8,82.25
Kay Felder,PG,8.25,8.50,68.25,177.2,74.5
Dorian Finney-Smith,SF,9.00,9.75,78.5,212.6,83.75
Michael Gbinije,SG,8.00,9.00,77.5,204.6,79.5
Daniel Hamilton,SG-SF,9.00,8.50,78.25,197.0,81.0
Josh Hart,SG,8.50,9.25,76.0,203.6,80.5
Nigel Hayes,SF-PF,8.50,9.50,78.25,245.0,87.0
Buddy Hield,SG,8.50,9.00,75.75,212.4,81.25
Justin Jackson,SF,8.75,8.75,79.0,193.4,82.75
Demetrius Jackson,PG,8.25,9.00,72.0,193.8,77.5
Brice Johnson,PF,9.00,8.25,81.0,208.6,84.5
Damian Jones,C,8.75,10.50,82.25,243.6,87.75
Skal Labissiere,PF-C,8.75,9.00,82.5,215.8,86.5
Jake Layman,SF,8.25,9.25,80.0,208.6,81.25
Caris LeVert,SG,8.50,9.25,77.75,191.0,82.0
Marcus Lee,PF-C,9.00,9.00,81.0,211.0,87.0
Thon Maker,PF,8.75,9.50,83.75,216.0,87.0
Patrick McCaw,PG-SG,8.75,8.75,77.25,180.8,82.0
Malik Newman,SG,8.25,9.25,74.25,182.2,77.75
Georges Niang,PF,9.25,9.25,78.75,230.8,82.0
Chinanu Onuaku,C,9.00,8.00,81.0,245.2,86.75
Marcus Paige,PG,7.75,8.75,72.5,163.8,78.25
Gary Payton II,PG,8.75,9.50,74.0,183.8,80.0
Jakob Poeltl,C,9.25,10.25,84.25,239.0,86.75
Taurean Prince,SF,9.00,8.50,78.5,220.2,83.5
Zhou Qi,PF-C,9.25,9.50,85.25,218.2,91.75
Malachi Richardson,SG-SF,8.75,10.00,76.75,199.6,84.0
Wayne Selden,SG,9.00,9.25,76.25,232.4,82.5
Pascal Siakam,PF,9.25,10.00,80.25,226.6,87.25
Diamond Stone,C,8.50,7.75,81.0,254.4,86.75
Caleb Swanigan,PF,9.00,10.25,79.5,246.6,87.5
Melo Trimble,PG,8.00,8.75,73.25,191.8,74.0
Tyler Ulis,PG,7.50,7.50,68.75,149.2,74.0
Jarrod Uthoff,PF,8.75,9.00,80.5,214.4,83.5
Denzel Valentine,SG-SF,8.50,9.75,76.0,210.4,82.75
Isaiah Whitehead,PG-SG,8.50,8.75,75.25,210.0,80.75
Troy Williams,SF,8.25,9.25,77.75,217.8,80.25
Kyle Wiltjer,PF,8.25,9.50,80.75,242.8,84.25
Stephen Zimmerman,C,9.00,9.00,82.25,234.0,87.25
Cliff Alexander,PF-C,9.50,10.25,79.25,239.2,87.5
Justin Anderson,SF-SG,8.50,9.50,77.25,230.6,83.75
Brandon Ashley,PF,9.00,9.50,79.25,228.0,87.75
Ryan Boatright,PG,7.50,8.75,70.0,169.6,72.5
Devin Booker,SG,8.75,9.00,76.5,205.8,80.25
Anthony Brown,SF-SG,8.50,9.00,77.75,211.0,83.0
Willie Cauley-Stein,C,9.50,9.00,83.25,242.4,87.0
Rakeem Christmas,PF-C,9.25,9.00,80.25,242.6,89.25
Pat Connaughton,SG,8.50,9.25,76.0,215.0,80.0
Quinn Cook,PG,7.50,8.75,72.25,179.0,76.0
Branden Dawson,PF,9.00,8.75,77.5,230.2,83.0
Sam Dekker,SF,8.50,9.25,79.75,218.6,83.5
Michael Frazier II,SG,8.25,9.25,75.75,199.4,80.0
Treveon Graham,SF,8.50,8.25,76.0,219.4,82.5
Jerian Grant,PG,8.25,8.50,75.25,198.0,79.5
Olivier Hanlan,PG-SG,8.00,8.75,75.25,185.8,78.0
Montrezl Harrell,PF,9.00,9.75,79.0,253.4,88.25
Aaron Harrison,SG,8.75,10.00,76.5,209.2,80.25
Andrew Harrison,PG,8.25,9.25,76.5,213.2,81.0
Tyler Harvey,SG,7.75,8.75,74.75,181.4,77.5
Corey Hawkins,SG-PG,8.75,9.00,72.75,191.8,80.0
Rondae Hollis-Jefferson,SF,8.75,9.75,77.5,210.8,86.0
Jonathan Holmes,PF-SF,8.25,9.50,80.25,242.2,83.5
Richaun Holmes,PF,8.50,8.50,80.25,242.8,85.5
R.J. Hunter,SG,8.50,8.25,76.5,185.0,82.5
Vince Hunter,PF,9.00,8.75,78.75,208.4,83.0
Dakari Johnson,C,9.25,10.50,83.0,264.6,86.0
Stanley Johnson,SF,9.00,9.00,77.0,241.8,83.5
Tyus Jones,PG,8.25,8.75,72.5,184.6,77.0
Frank Kaminsky,C-PF,8.50,9.50,83.75,231.2,83.0
Kevon Looney,PF,9.50,9.25,80.0,222.4,87.5
Trey Lyles,PF,9.25,10.25,81.0,241.2,85.5
Jarell Martin,PF,8.25,9.50,80.0,238.6,81.0
TJ McConnell,PG,7.50,7.00,72.5,187.8,74.0
Chris McCullough,PF,8.75,8.75,80.25,199.0,87.25
Jordan Mickey,PF,8.75,9.50,79.0,238.0,87.25
Larry Nance,PF,9.00,9.75,79.5,226.6,85.5
Kelly Oubre,SF-SG,9.00,8.75,77.75,202.8,86.25
Cameron Payne,PG,8.50,8.25,72.75,182.8,79.25
Terran Petteway,SG,8.25,8.25,76.75,209.2,83.25
Bobby Portis,PF,9.50,9.25,81.5,246.2,86.0
Norman Powell,SG,9.25,9.00,75.0,215.4,82.75
Michael Qualls,SG-SF,9.00,10.25,76.0,201.4,84.25
Chasson Randle,PG,8.50,9.50,72.25,178.8,79.0
Terry Rozier,PG-SG,8.25,8.50,72.5,190.2,80.25
D?Angelo Russell,PG-SG,8.75,9.75,75.25,193.4,81.75
Keifer Sykes,PG,8.50,9.50,70.5,167.2,74.0
Marcus Thornton,PG-SG,8.25,8.50,73.75,177.4,79.75
J.P. Tokoto,SF-SG,8.00,8.75,77.25,195.8,82.0
Myles Turner,C-PF,9.25,9.25,81.75,238.6,88.0
Robert Upshaw,C,10.00,11.00,82.75,258.2,89.5
Rashad Vaughn,SG,8.00,8.50,75.75,198.6,79.0
Chris Walker,PF,9.00,9.00,80.75,208.0,86.75
Dez Wells,SG,8.75,9.75,75.0,208.8,81.5
Alan Williams,PF,8.50,9.50,79.25,261.4,85.75
Justise Winslow,SF,8.50,9.25,76.5,221.8,82.25
Christian Wood,PF,9.25,10.75,81.25,216.0,87.25
Delon Wright,PG,8.00,8.50,76.25,181.4,79.5
Jordan Adams,SG,8.50,7.50,75.5,208.8,82.0
Kyle Anderson,SF,8.25,8.75,79.5,230.1,86.75
Thanasis Antetokounmpo,SF,9.00,9.75,77.25,205.2,84.0
Jordan Bachynski,PF,9.25,10.00,85.25,254.1,88.0
Cameron Bairstow,PF,8.75,9.00,80.75,252.4,84.75
Khem Birch,PF,9.00,8.50,79.5,208.8,85.0
Alec Brown,PF,9.25,8.75,84.25,231.2,85.5
Jabari Brown,SG,9.00,9.25,75.0,201.9,80.25
Markel Brown,SG,8.25,9.75,74.5,184.4,80.75
Deonte Burton,PG,8.25,8.00,72.0,192.8,79.0
Semaj Christon,PG,8.50,8.25,73.5,186.0,78.5
Jordan Clarkson,PG,8.25,9.00,75.25,186.3,80.0
Aaron Craft,PG,7.75,8.50,72.75,191.6,74.0
DeAndre Daniels,SF,9.25,10.50,79.25,196.0,86.0
Spencer Dinwiddie,PG,8.25,9.00,76.5,204.9,80.25
Cleanthony Early,SF,8.50,9.00,78.0,209.4,82.75
Melvin Ejim,SF,8.75,9.25,77.25,218.5,83.25
Tyler Ennis,PG,8.25,8.75,73.0,181.5,79.25
Dante Exum,SG,8.50,9.50,76.5,196.3,81.5
C.J. Fair,SF,9.00,9.00,78.5,218.1,81.5
Aaron Gordon,PF,8.75,10.50,79.5,220.1,83.75
Jerami Grant,SF,9.25,9.25,78.5,214.0,86.75
P.J. Hairston,SG,8.75,9.75,76.25,228.8,81.0
Gary Harris,SG,8.50,9.50,74.5,204.8,78.75
Joe Harris,SG,8.50,9.75,76.75,215.0,78.0
Rodney Hood,SF,8.50,8.50,79.25,208.2,80.5
Cory Jefferson,PF,8.75,9.75,79.75,218.4,84.5
Nick Johnson,SG,8.75,9.75,73.5,198.0,79.25
Sean Kilpatrick,SG,9.00,9.00,74.5,218.7,79.0
Alex Kirk,PF,9.25,10.50,81.25,252.0,87.5
Zach LaVine,PG,8.25,8.75,76.5,180.9,80.25
Devyn Marble,SG,8.25,8.50,77.0,192.4,81.0
James McAdoo,PF,9.25,9.00,79.5,227.6,86.25
K.J. McDaniels,SF,8.75,9.75,76.5,195.6,83.25
Doug McDermott,SF,8.75,9.75,78.25,218.0,81.25
Jordan McRae,SG,8.75,8.50,75.75,179.4,84.5
Shabazz Napier,PG,8.25,8.50,71.0,175.2,75.25
Johnny O?Bryant III,PF,9.25,9.50,79.25,256.8,86.25
Lamar Patterson,SG,9.00,9.25,76.0,226.0,83.0
Adreian Payne,PF,9.25,9.50,81.0,238.5,88.0
Elfrid Payton,PG,8.75,9.00,74.5,185.4,80.0
Dwight Powell,PF,9.00,9.25,81.5,234.4,84.5
Julius Randle,PF,8.75,8.25,79.75,249.7,84.0
Glenn Robinson III,SF,9.00,9.50,77.5,211.4,82.0
LaQuinton Ross,SF,8.75,9.75,78.5,238.7,85.75
Marcus Smart,PG,9.00,8.75,74.0,227.2,81.25
Russ Smith,PG,8.25,8.50,71.5,160.0,75.5
Nik Stauskas,SG,8.50,8.50,77.25,206.9,79.75
Jarnell Stokes,PF,9.75,10.50,79.0,262.8,85.25
Xavier Thames,PG,8.25,9.00,74.25,187.0,76.0
Noah Vonleh,PF,9.75,11.75,80.0,247.1,88.25
T.J. Warren,SF,8.75,9.00,79.0,220.2,82.25
