Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%▼,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Jayson Tatum,PF,21,BOS,66,66,2265,552,1226,0.45,189,469,0.40299999999999997,363,757,0.48,0.527,254,313,0.812,64,396,460,200,93,57,155,136,1547
23,T.J. Warren,SF,26,IND,67,67,2202,534,997,0.536,91,226,0.40299999999999997,443,771,0.575,0.581,167,204,0.8190000000000001,68,212,280,99,78,34,84,187,1326
24,Furkan Korkmaz,SG,22,PHI,72,12,1559,242,563,0.43,143,356,0.402,99,207,0.478,0.557,77,102,0.755,18,150,168,79,41,16,59,98,704
25,Tony Snell,SF,28,DET,59,57,1641,170,382,0.445,102,254,0.402,68,128,0.531,0.579,32,32,1.0,9,102,111,127,32,15,31,101,474
26,Damian Lillard,PG,29,POR,66,66,2474,624,1349,0.46299999999999997,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978
27,Ben McLemore,SF,26,HOU,71,23,1619,242,545,0.444,181,452,0.4,61,93,0.6559999999999999,0.61,50,67,0.746,21,136,157,58,45,16,50,155,715
28,Georges Niang,PF,26,UTA,66,1,923,141,322,0.43799999999999994,90,225,0.4,51,97,0.526,0.578,20,24,0.833,15,112,127,44,18,5,30,75,392
29,Evan Fournier,SF,27,ORL,66,66,2076,434,929,0.467,173,434,0.39899999999999997,261,495,0.527,0.56,180,220,0.818,18,153,171,209,71,15,125,161,1221
30,Langston Galloway,SG,28,DET,66,6,1702,236,542,0.435,132,331,0.39899999999999997,104,211,0.493,0.557,73,85,0.8590000000000001,33,116,149,101,48,11,40,96,677
31,Joe Ingles,PF,32,UTA,72,45,2137,246,553,0.445,141,353,0.39899999999999997,105,200,0.525,0.5720000000000001,74,94,0.787,27,251,278,373,65,11,142,154,707
32,Luke Kennard,SG,23,DET,28,25,922,151,342,0.442,73,183,0.39899999999999997,78,159,0.491,0.5479999999999999,67,75,0.893,9,89,98,115,12,6,43,65,442
33,Norman Powell,SG,26,TOR,52,26,1479,296,598,0.495,109,273,0.39899999999999997,187,325,0.575,0.586,129,153,0.843,26,164,190,91,60,21,77,108,830
34,Tim Hardaway Jr.,SG,27,DAL,71,58,2091,384,884,0.434,204,513,0.39799999999999996,180,371,0.485,0.55,149,182,0.8190000000000001,25,207,232,137,41,5,69,125,1121
35,Buddy Hield,SG,27,SAC,72,44,2216,498,1162,0.429,271,688,0.39399999999999996,227,474,0.479,0.545,115,136,0.846,57,271,328,213,66,17,168,165,1382
36,Aaron Holiday,PG,23,IND,66,33,1617,233,563,0.414,87,221,0.39399999999999996,146,342,0.42700000000000005,0.491,74,87,0.851,22,134,156,225,55,16,88,120,627
37,Jaren Jackson Jr.,C,20,MEM,57,57,1622,353,753,0.469,145,368,0.39399999999999996,208,385,0.54,0.565,139,186,0.747,55,207,262,78,40,92,99,232,990
38,Brandon Ingram,PF,22,NOP,62,62,2104,507,1096,0.46299999999999997,150,384,0.391,357,712,0.501,0.531,313,368,0.851,51,329,380,259,61,38,189,179,1477
39,Glenn Robinson III,SF,26,TOT,62,52,1786,288,592,0.486,77,197,0.391,211,395,0.534,0.552,74,86,0.86,81,189,270,96,54,16,55,100,727
40,OG Anunoby,SF,22,TOR,69,68,2066,286,566,0.505,89,228,0.39,197,338,0.583,0.584,72,102,0.706,80,284,364,108,96,45,79,167,733
41,Cameron Johnson,PF,23,PHO,57,9,1255,176,405,0.435,106,272,0.39,70,133,0.526,0.565,46,57,0.807,49,138,187,69,36,20,32,88,504
