Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%▼,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30,Terrence Ross,SG,28,ORL,69,0,1889,341,846,0.40299999999999997,177,504,0.35100000000000003,164,342,0.48,0.508,157,184,0.853,13,209,222,82,77,24,70,109,1016
31,Derrick White,SG,25,SAS,68,20,1677,253,552,0.45799999999999996,79,216,0.366,174,336,0.518,0.53,180,211,0.853,35,188,223,241,44,59,89,152,765
32,Brandon Ingram,PF,22,NOP,62,62,2104,507,1096,0.46299999999999997,150,384,0.391,357,712,0.501,0.531,313,368,0.851,51,329,380,259,61,38,189,179,1477
33,Fred VanVleet,SG,25,TOR,54,54,1928,319,773,0.413,146,374,0.39,173,399,0.434,0.507,168,198,0.848,18,185,203,357,100,17,121,132,952
34,Anthony Davis,PF,26,LAL,62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618
35,Buddy Hield,SG,27,SAC,72,44,2216,498,1162,0.429,271,688,0.39399999999999996,227,474,0.479,0.545,115,136,0.846,57,271,328,213,66,17,168,165,1382
36,Collin Sexton,PG,21,CLE,65,65,2143,513,1086,0.47200000000000003,97,255,0.38,416,831,0.501,0.517,226,267,0.846,61,143,204,192,65,7,158,142,1349
37,Carmelo Anthony,PF,35,POR,58,58,1902,336,782,0.43,87,226,0.385,249,556,0.44799999999999995,0.485,136,161,0.845,71,297,368,85,49,27,100,171,895
38,DeMar DeRozan,SF,30,SAS,68,68,2316,557,1049,0.531,9,35,0.257,548,1014,0.54,0.535,381,451,0.845,44,331,375,380,70,20,164,180,1504
39,Norman Powell,SG,26,TOR,52,26,1479,296,598,0.495,109,273,0.39899999999999997,187,325,0.575,0.586,129,153,0.843,26,164,190,91,60,21,77,108,830
40,Bradley Beal,SG,26,WAS,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.8420000000000001,52,190,242,347,71,23,194,126,1741
41,Dennis Schröder,SG,26,OKC,65,2,1999,453,965,0.469,125,325,0.385,328,640,0.513,0.534,198,236,0.8390000000000001,19,217,236,262,45,14,166,146,1229
42,Jordan Clarkson,SG,27,TOT,71,2,1705,394,867,0.45399999999999996,152,413,0.368,242,454,0.5329999999999999,0.542,138,165,0.836,50,137,187,136,46,16,97,108,1078
43,Brook Lopez,C,31,MIL,68,67,1817,292,671,0.435,102,325,0.314,190,346,0.5489999999999999,0.511,127,152,0.836,58,254,312,99,46,163,70,163,813
44,Marcus Smart,SG,25,BOS,60,40,1919,256,682,0.375,137,395,0.34700000000000003,119,287,0.415,0.47600000000000003,127,152,0.836,42,183,225,291,101,29,103,162,776
45,Jimmy Butler,SF,30,MIA,58,58,1959,345,758,0.455,29,119,0.244,316,639,0.495,0.474,438,525,0.8340000000000001,106,280,386,350,103,32,127,81,1157
46,Rui Hachimura,PF,21,WAS,48,48,1444,254,545,0.466,25,87,0.287,229,458,0.5,0.489,116,140,0.8290000000000001,78,216,294,87,37,8,53,105,649
47,LaMarcus Aldridge,C,34,SAS,53,53,1754,391,793,0.493,61,157,0.389,330,636,0.519,0.532,158,191,0.8270000000000001,103,289,392,129,36,87,74,128,1001
48,Mike Conley,PG,32,UTA,47,41,1363,232,567,0.409,96,256,0.375,136,311,0.43700000000000006,0.494,115,139,0.8270000000000001,33,118,151,208,36,5,92,104,675
49,Lauri Markkanen,PF,22,CHI,50,50,1492,251,591,0.425,109,317,0.344,142,274,0.518,0.517,126,153,0.8240000000000001,60,253,313,74,42,23,81,96,737
50,Shabazz Napier,PG,28,TOT,56,32,1344,188,456,0.41200000000000003,76,240,0.317,112,216,0.519,0.496,126,153,0.8240000000000001,26,132,158,262,69,11,128,101,578
51,Marcus Morris,SF-PF,30,TOT,62,62,1936,355,810,0.43799999999999994,142,348,0.408,213,462,0.461,0.526,181,220,0.823,59,252,311,86,47,30,97,180,1033
52,Devonte' Graham,PG,24,CHO,63,53,2211,368,963,0.382,218,585,0.373,150,378,0.397,0.495,191,233,0.82,42,170,212,471,62,15,181,115,1145
53,Tim Hardaway Jr.,SG,27,DAL,71,58,2091,384,884,0.434,204,513,0.39799999999999996,180,371,0.485,0.55,149,182,0.8190000000000001,25,207,232,137,41,5,69,125,1121
54,T.J. Warren,SF,26,IND,67,67,2202,534,997,0.536,91,226,0.40299999999999997,443,771,0.575,0.581,167,204,0.8190000000000001,68,212,280,99,78,34,84,187,1326
55,Evan Fournier,SF,27,ORL,66,66,2076,434,929,0.467,173,434,0.39899999999999997,261,495,0.527,0.56,180,220,0.818,18,153,171,209,71,15,125,161,1221
56,Nikola Jokić,C,24,DEN,73,73,2336,565,1071,0.528,80,255,0.314,485,816,0.594,0.565,246,301,0.8170000000000001,166,545,711,512,85,44,226,222,1456
57,Paul Millsap,PF,34,DEN,51,48,1240,211,438,0.48200000000000004,54,124,0.435,157,314,0.5,0.5429999999999999,115,141,0.816,98,195,293,83,44,30,70,150,591
58,Jayson Tatum,PF,21,BOS,66,66,2265,552,1226,0.45,189,469,0.40299999999999997,363,757,0.48,0.527,254,313,0.812,64,396,460,200,93,57,155,136,1547
59,Miles Bridges,SF,21,CHO,65,64,1995,319,753,0.424,99,300,0.33,220,453,0.486,0.489,106,131,0.809,88,274,362,114,40,48,95,132,843
60,Josh Richardson,SG,26,PHI,55,53,1693,278,646,0.43,85,249,0.341,193,397,0.486,0.496,114,141,0.809,41,133,174,162,52,36,104,136,755
61,D'Angelo Russell,PG,23,TOT,45,45,1452,360,846,0.426,158,431,0.36700000000000005,202,415,0.48700000000000004,0.519,161,199,0.809,17,160,177,285,48,13,147,86,1039
62,Dillon Brooks,SG,24,MEM,73,73,2112,435,1068,0.40700000000000003,147,411,0.358,288,657,0.43799999999999994,0.47600000000000003,164,203,0.8079999999999999,68,175,243,150,63,27,124,278,1181
63,Joel Embiid,C,25,PHI,51,51,1506,382,801,0.47700000000000004,57,172,0.331,325,629,0.517,0.512,351,435,0.807,141,452,593,152,45,65,159,174,1172
64,Shai Gilgeous-Alexander,SG,21,OKC,70,70,2428,478,1015,0.47100000000000003,87,251,0.34700000000000003,391,764,0.512,0.514,288,357,0.807,47,365,412,232,79,47,134,117,1331
65,Tobias Harris,PF,27,PHI,72,72,2469,553,1173,0.47100000000000003,131,357,0.36700000000000005,422,816,0.517,0.527,174,216,0.8059999999999999,69,426,495,227,53,40,104,165,1411
66,Zach LaVine,SG,24,CHI,60,60,2085,539,1199,0.45,184,484,0.38,355,715,0.49700000000000005,0.526,268,334,0.802,41,248,289,254,88,28,206,131,1530
67,Harrison Barnes,PF,27,SAC,72,72,2482,365,793,0.46,102,268,0.381,263,525,0.501,0.525,214,267,0.8009999999999999,77,278,355,159,43,12,88,93,1046
68,John Collins,PF,22,ATL,41,41,1363,353,605,0.583,59,147,0.401,294,458,0.642,0.632,120,150,0.8,116,300,416,60,31,66,75,138,885
69,Kristaps Porziņģis,C,24,DAL,57,57,1814,398,932,0.42700000000000005,142,403,0.35200000000000004,256,529,0.484,0.503,226,283,0.799,100,440,540,102,41,115,92,185,1164
